,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,date_id,CASHBACK_STORE_1,CASHBACK_STORE_2,CASHBACK_STORE_3
0,2011-01-29,11101,Saturday,1,1,2011,,,,,1,0,0,0
1,2011-01-30,11101,Sunday,2,1,2011,,,,,2,0,0,0
2,2011-01-31,11101,Monday,3,1,2011,,,,,3,0,0,0
3,2011-02-01,11101,Tuesday,4,2,2011,,,,,4,0,1,1
4,2011-02-02,11101,Wednesday,5,2,2011,,,,,5,1,1,0
5,2011-02-03,11101,Thursday,6,2,2011,,,,,6,1,1,1
6,2011-02-04,11101,Friday,7,2,2011,,,,,7,0,1,0
7,2011-02-05,11102,Saturday,1,2,2011,,,,,8,1,1,1
8,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,,,9,1,1,1
9,2011-02-07,11102,Monday,3,2,2011,,,,,10,0,1,1
10,2011-02-08,11102,Tuesday,4,2,2011,,,,,11,1,1,0
11,2011-02-09,11102,Wednesday,5,2,2011,,,,,12,1,1,1
12,2011-02-10,11102,Thursday,6,2,2011,,,,,13,0,1,0
13,2011-02-11,11102,Friday,7,2,2011,,,,,14,1,0,1
14,2011-02-12,11103,Saturday,1,2,2011,,,,,15,1,0,1
15,2011-02-13,11103,Sunday,2,2,2011,,,,,16,0,0,1
16,2011-02-14,11103,Monday,3,2,2011,ValentinesDay,Cultural,,,17,1,0,0
17,2011-02-15,11103,Tuesday,4,2,2011,,,,,18,1,0,1
18,2011-02-16,11103,Wednesday,5,2,2011,,,,,19,0,0,0
19,2011-02-17,11103,Thursday,6,2,2011,,,,,20,0,0,0
20,2011-02-18,11103,Friday,7,2,2011,,,,,21,0,0,0
21,2011-02-19,11104,Saturday,1,2,2011,,,,,22,0,0,0
22,2011-02-20,11104,Sunday,2,2,2011,,,,,23,0,0,0
23,2011-02-21,11104,Monday,3,2,2011,PresidentsDay,National,,,24,0,0,0
24,2011-02-22,11104,Tuesday,4,2,2011,,,,,25,0,0,0
25,2011-02-23,11104,Wednesday,5,2,2011,,,,,26,0,0,0
26,2011-02-24,11104,Thursday,6,2,2011,,,,,27,0,0,0
27,2011-02-25,11104,Friday,7,2,2011,,,,,28,0,0,0
28,2011-02-26,11105,Saturday,1,2,2011,,,,,29,0,0,0
29,2011-02-27,11105,Sunday,2,2,2011,,,,,30,0,0,0
30,2011-02-28,11105,Monday,3,2,2011,,,,,31,0,0,0
31,2011-03-01,11105,Tuesday,4,3,2011,,,,,32,0,1,1
32,2011-03-02,11105,Wednesday,5,3,2011,,,,,33,1,1,0
33,2011-03-03,11105,Thursday,6,3,2011,,,,,34,1,1,1
34,2011-03-04,11105,Friday,7,3,2011,,,,,35,0,1,0
35,2011-03-05,11106,Saturday,1,3,2011,,,,,36,1,1,1
36,2011-03-06,11106,Sunday,2,3,2011,,,,,37,1,1,1
37,2011-03-07,11106,Monday,3,3,2011,,,,,38,0,1,1
38,2011-03-08,11106,Tuesday,4,3,2011,,,,,39,1,1,0
39,2011-03-09,11106,Wednesday,5,3,2011,LentStart,Religious,,,40,1,1,1
